5.020, 0.0540
5.020, 0.0540
5.020, 0.0600
5.020, 0.0600
5.030, 0.0330
5.020, 0.0460
5.000, 0.1350
4.990, 0.1460
5.000, 0.1340
5.000, 0.1320
5.000, 0.1420
5.000, 0.1330
5.000, 0.1330
5.000, 0.1450
5.000, 0.1450
5.000, 0.1330
5.000, 0.1450
5.000, 0.1450
5.000, 0.1440
5.000, 0.1460
5.000, 0.1440
5.000, 0.1460
5.000, 0.1340
5.000, 0.1460
5.000, 0.1340
5.000, 0.1340
5.000, 0.1330
5.000, 0.1340
5.000, 0.1340
5.000, 0.1340
5.000, 0.1450
5.000, 0.1390
5.000, 0.1330
4.990, 0.1530
5.000, 0.1460
5.000, 0.1450
4.990, 0.1540
5.000, 0.1440
5.020, 0.0680
